α1,p1,q1,c1_1,c2_1,diff
0.8935,1.9977110869285677,1.7562469507026681,1.499998110475539,1.8895237277376444e-6,1.4999962209518114
0.8936,1.997723018875249,1.756242449982905,1.499998120434113,1.879565674409595e-6,1.4999962408684386
0.8937,1.997734898782301,1.7562379472264333,1.4999981303477692,1.869652185282817e-6,1.499996260695584
0.8938,1.9977467268344624,1.7562334423867965,1.4999981402162268,1.8597830927533766e-6,1.499996280433134
0.8939,1.9977585032093668,1.7562289354184555,1.4999981500408692,1.8499582297840246e-6,1.4999963000826395
0.894,1.9977702280846499,1.756224426275808,1.4999981598229568,1.8401774298717508e-6,1.499996319645527
0.8941,1.9977819016521545,1.7562199149112256,1.4999981695600568,1.8304405269863478e-6,1.49999633911953
0.8942,1.997793524089515,1.7562154012789777,1.4999981792531887,1.8207473556895794e-6,1.499996358505833
0.8943,1.9978050955814708,1.7562108853322882,1.4999981889014644,1.8110977510431558e-6,1.4999963778037133
0.8944,1.9978166162914452,1.7562063670272592,1.499998198509236,1.8014915487258747e-6,1.4999963970176873
0.8945,1.9978280864183886,1.7562018463150229,1.499998208071799,1.7919285847951847e-6,1.4999964161432142
0.8946,1.997839506132828,1.756197323150571,1.4999982175914797,1.7824086959520284e-6,1.4999964351827837
0.8947,1.9978508756123992,1.7561927974878468,1.4999982270686927,1.7729317193911242e-6,1.4999964541369732
0.8948,1.9978621950418405,1.756188269279748,1.4999982365019493,1.7634974928002925e-6,1.4999964730044566
0.8949,1.9978734645916805,1.7561837384810675,1.4999982458932135,1.7541058544457188e-6,1.4999964917873592
0.895,1.9978846844324476,1.7561792050465326,1.4999982552443314,1.7447566431118598e-6,1.4999965104876882
0.8951,1.9978958547630916,1.7561746689268782,1.4999982645498784,1.7354496979863575e-6,1.4999965291001804
0.8952,1.9979069757399315,1.7561701300786596,1.4999982738150357,1.726184858943981e-6,1.4999965476301766
0.8953,1.9979180475477056,1.7561655884544403,1.4999982830377159,1.716961966259686e-6,1.4999965660757497
0.8954,1.9979290703569428,1.7561610440086777,1.499998292219288,1.7077808607777738e-6,1.4999965844384273
0.8955,1.9979400443452762,1.7561564966947807,1.4999983013592142,1.6986413838255355e-6,1.4999966027178304
0.8956,1.9979509696903408,1.7561519464660895,1.4999983104568386,1.6895433772401404e-6,1.4999966209134614
0.8957,1.9979618465626645,1.7561473932768572,1.4999983195131739,1.680486683394658e-6,1.4999966390264905
0.8958,1.997972675132776,1.756142837081267,1.499998328529115,1.6714711451685192e-6,1.4999966570579697
0.8959,1.9979834555783098,1.7561382778324535,1.4999983375036514,1.6624966059188002e-6,1.4999966750070455
0.896,1.997994188069793,1.756133715484461,1.4999983464374427,1.6535629095336364e-6,1.4999966928745332
0.8961,1.9980048727848612,1.7561291499902842,1.4999983553292437,1.644669900376191e-6,1.4999967106593435
0.8962,1.998015509879831,1.7561245813057913,1.4999983641830514,1.635817423390997e-6,1.4999967283656281
0.8963,1.9980260995394423,1.7561200093828537,1.4999983729955995,1.627005323913991e-6,1.4999967459902754
0.8964,1.9980366419342235,1.7561154341752354,1.4999983817670783,1.6182334478328156e-6,1.4999967635336304
0.8965,1.9980471372347028,1.7561108556366303,1.4999983904975618,1.6095016415312596e-6,1.4999967809959203
0.8966,1.998057585597199,1.756106273722621,1.4999983991905776,1.600809751940201e-6,1.4999967983808258
0.8967,1.9980679872064504,1.756101688384796,1.499998407842394,1.5921576263784768e-6,1.4999968156847676
0.8968,1.9980783422258803,1.7560970995776133,1.4999984164545226,1.5835451127356578e-6,1.4999968329094098
0.8969,1.9980886508189122,1.7560925072554598,1.4999984250283565,1.5749720593911525e-6,1.499996850056297
0.897,1.99809891316318,1.7560879113706878,1.4999984335616021,1.5664383151615842e-6,1.499996867123287
0.8971,1.9981091294221072,1.756083311877537,1.4999984420554227,1.557943729402706e-6,1.4999968841116933
0.8972,1.9981192997591162,1.7560787087301755,1.499998450510865,1.5494881519559098e-6,1.499996901022713
0.8973,1.9981294243376304,1.7560741018826966,1.4999984589288613,1.541071433146815e-6,1.4999969178574282
0.8974,1.9981395033352842,1.7560694912871586,1.4999984673066569,1.5326934237337327e-6,1.4999969346132331
